id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
203,祥湖171,R2071糯×凡20/9408糯,粳型常规稻,嘉兴市农业科学研究院,浙审稻2007007,,,,,,,,,,,,,,,,,,,,,,,,
204,浙粳23,ZH9827×ZH9827////DP5165///DP51...,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2007006,,,,,,,,,,,,,,,,,,,,,,,,
205,嘉绍3号,嘉991×单测205,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2007005,,,,,,,,,,,,,,,,,,,,,,,,
206,嘉禾218,JS2/C211//J28×嘉禾212,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2007004,,,,,,,,,,,,,,,,,,,,,,,,
207,秀水128,丙98-101/R9936×HK21,粳型常规稻,嘉兴市农业科学研究院,浙审稻2007003,,,,,,,,,,,,,,,,,,,,,,,,
208,嘉粳3694,嘉粳2335/秀水110×秀水110,粳型常规稻,嘉兴市秀洲区农业科学研究所,浙审稻2007002,,,,,,,,,,,,,,,,,,,,,,,,
209,秀水33,甬单6号/丙98-101×秀水994,粳型常规稻,嘉兴市农业科学研究院,浙审稻2007001,,,,,,,,,,,,,,,,,,,,,,,,
210,温305,金早47×早籼436,籼型常规稻,浙江省温州市农业科学研究院,浙审稻2006025,,,,,,,,,,,,,,,,,,,,,,,,
211,温229,嘉早935/浙农943×温451,籼型常规稻,浙江省温州市农业科学研究院,浙审稻2006024,,,,,,,,,,,,,,,,,,,,,,,,
212,嘉育70,中754×00D1-1,籼型常规稻,嘉兴市农业科学研究院,浙审稻2006023,,,,,,,,,,,,,,,,,,,,,,,,
213,嘉早332,Z99-123×嘉早312,籼型常规稻,嘉兴市农业科学研究院,浙审稻2006022,,,,,,,,,,,,,,,,,,,,,,,,
214,中嘉早32,01D1-1/G95-40-8×01D1-1,籼型常规稻,中国水稻研究所等,浙审稻2006021,,,,,,,,,,,,,,,,,,,,,,,,
